Activity Id,Students Sets,Subject,Teachers,Room,SKS
207,IT-02-02,23771 - ITA3233 - DATA WAREHOUSE,KMD,KELAS,3
208,IS-03-02,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3
209,IS-03-03,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3
210,IS-03-04,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,KELAS,3
211,IS-04-01,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,KELAS,3
212,IS-04-02,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,KELAS,3
213,CE-04-01,23150 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2
214,IE-04-01,23435 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2
215,IE-04-02,23435 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2
216,IS-04-01,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2
217,IS-04-02,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2
218,IS-04-03,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2
219,IS-04-04,23798 - LAA1032 - BAHASA INDONESIA,LSH,KELAS,2
220,IF-01-01,23923 - IFB1223 - KALKULUS 2,MDF,KELAS,3
221,IF-01-02,23923 - IFB1223 - KALKULUS 2,MDF,KELAS,3
222,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,KELAS,3
223,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,LAB,3
224,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,KELAS,3
225,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,LAB,3
226,IS-01-01,23830 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,MNP,KELAS,2
227,IS-03-01,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,MNP,KELAS,3
228,IS-03-02,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,MNP,KELAS,3
229,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,KELAS,3
230,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,LAB,3
231,SE-01-01,23715 - TPA3022 - KEWIRAUSAHAAN,MSK,KELAS,2
232,SE-01-01,23712 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,MSK,KELAS,2
233,SE-02-01,23708 - SEA3293 - MANAJEMEN PROJEK PERANGKAT LUNAK,MSK,KELAS,3
234,SE-03-01,23697 - SEA2263 - REKAYASA APLIKASI INTERNET,MSK,LAB,3
235,SE-04-01,23681 - MAA1013 - MATRIK DAN VEKTOR,MSK,KELAS,3
236,IS-02-01,23822 - ISA3213 - KEAMANAN SISTEM INFORMASI,NAS,KELAS,3
237,IS-02-02,23822 - ISA3213 - KEAMANAN SISTEM INFORMASI,NAS,KELAS,3
238,IS-03-02,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,KELAS,3
239,IS-03-02,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,LAB,3
240,IS-03-03,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,KELAS,3
